X,Y,OBJECTID,ENDERECO,NUMERO,photo,tx_bairro
-43.0958491697031,-22.8894168833069,1,Noronha Torrezao,524,sinalização turística _20170524_145332396804034.jpg,
-43.0940069308961,-22.8895632139614,2,Noronha Torrezao,597,sinalização turística _20170524_145953-1930342832.jpg,
-43.1078020317346,-22.9029061146849,3,Lopes Trovão,247,sinalização turística _20170524_160625396804034.jpg,
-43.1065385829518,-22.9054214400639,4,Lemos Cunha,315,sinalização turística _20170524_161219-1930342832.jpg,
-43.1055061437504,-22.9064415064362,5,Lemos Cunha,565,sinalização turística _20170524_161409-1203390553.jpg,
-43.1035519471208,-22.9081801338731,6,Lemos Cunha,449,sinalização turística _20170524_1618321296480536.jpg,
-43.1031656135845,-22.9085355605546,7,Lemos Cunha,495,sinalização turística _20170524_1619491119414071.jpg,
-43.1031039695791,-22.9085821058289,8,Lemos Cunha,493,sinalização turística _20170524_162013-179771444.jpg,
-43.1020812621657,-22.9095458765502,9,Lemos Cunha,548,sinalização turística _20170524_162126-535219537.jpg,
-43.0971411004397,-22.9138108740636,10,Leopoldo Froes,450,sinalização turística _20170524_162207363860481.jpg,
-43.0941510200594,-22.9046126178349,11,Almirante Ary Parreiras,1,sinalização turística _20170525_085249396804034.jpg,
-43.0837815849692,-22.9266900738545,12,Nossa Senhora de Lurdes,0,sinalização turística _20170503_0933581025051887.jpg,
-43.0916573645488,-22.9221909909374,13, A,0,sinalização turística _20170503_0944331025051887.jpg,
-43.0926491597601,-22.9214853101463,14,Frei Juniepero Serra,279,sinalização turística _20170503_0947421487591168.jpg,
-43.0927620555717,-22.9214424094061,15,Frei Juniepero Serra,3,sinalização turística _20170503_0950161798576508.jpg,
-43.0947807540892,-22.9228877272454,16,Quintino de Bocaiuva,0,sinalização turística _20170503_095228820624671.jpg,
-43.1039752902104,-22.9356516520301,17,Carlos Ermelindo Marins,0,sinalização turística _20170503_0956061358892499.jpg,
-43.1048154864046,-22.9359363778804,18,Carlos Ermelindo Marins,0,sinalização turística _20170503_0957291035065171.jpg,
-43.1087452921873,-22.9358063131259,19,Carlos Ermelindo Marins,0,sinalização turística _20170503_095954-1689666446.jpg,
-43.1127646655691,-22.9348564757722,20,Carlos Ermelindo Marins,0,sinalização turística _20170503_100205128572104.jpg,
-43.1130269353054,-22.9345614771966,21,Carlos Ermelindo Marins,0,sinalização turística _20170503_1002591593169978.jpg,
-43.1130891080029,-22.9344947644392,22,Carlos Ermelindo Marins,0,sinalização turística _20170503_100334-407823937.jpg,
-43.1150465426705,-22.9322389261598,23,Carlos Ermelindo Marins,283,sinalização turística _20170503_100409-1640267546.jpg,
-43.1156370561645,-22.931632730058,24,Carlos Ermelindo Marins,926,sinalização turística _20170503_100554-88451039.jpg,
-43.1210170045531,-22.9270756858609,25,General Eurico Gaspar Dutra,211,sinalização turística _20170503_100806690518764.jpg,
-43.1223829650105,-22.9290642465117,26,General Eurico Gaspar Dutra,0,sinalização turística _20170503_1009381484566093.jpg,
-43.1223221458026,-22.9297851406737,27,General Eurico Gaspar Dutra,0,sinalização turística _20170503_1011001973011082.jpg,
-43.1138018771141,-22.9336866361976,28,Carlos Emerlindo Martins,283,sinalização turística _20170503_101731984177613.jpg,
-43.1121693036629,-22.9353911765498,29,Carlos Emerlindo Martins,0,sinalização turística _20170503_1019351750117127.jpg,
-43.094618003029,-22.9245046914477,30,Av Prefeito Silvio Picaço,615,sinalização turística _20170503_102629-2091584289.jpg,
-43.0940342389352,-22.9214013782939,31,Quintino de Bocaiuva,239,sinalização turística _20170503_1028321971291007.jpg,
-43.0940342389352,-22.9214013782939,32,Quintino de Bocaiuva,241,sinalização turística _20170503_102938443157860.jpg,
-43.0923536461879,-22.920550800876,33,Av Taubaté ,2,sinalização turística _20170503_10314147428313.jpg,
-43.089938555621,-22.9200995847284,34,Rui Barbosa,41,sinalização turística _20170503_1033201767107999.jpg,
-43.0685643237135,-22.9085229293776,35,Rui Barbosa,1299,sinalização turística _20170503_1040182043335264.jpg,
-43.0658148908739,-22.9079461893988,36,Rui Barbosa,1291,sinalização turística _20170503_1041481681309226.jpg,
-43.0590285429105,-22.9070338020573,37,Caetano Monteiro,611,sinalização turística _20170503_104303377387569.jpg,
-43.0467414084737,-22.9035238333523,38,Caetano Monteiro,4395,sinalização turística _20170503_104646-2081386547.jpg,
-43.0415713223879,-22.8999604386282,39,Caetano Monteiro,1834,sinalização turística _20170503_104945-87645761.jpg,
-43.0374304273801,-22.8941091037692,40,Caetano Monteiro,2123,sinalização turística _20170503_105306-1857566159.jpg,
-43.0342143383369,-22.889834628479,41,Caetano Monteiro,908,sinalização turística _20170503_1055051236049079.jpg,
-43.0268070207011,-22.8778826804807,42,Estarda Caetano Monteiro,2871,sinalização turística _20170503_1057292050520178.jpg,
-43.0267103125149,-22.8782389772078,43,Estr. Caetano Monteiro,2865,sinalização turística _20170503_110056-493211677.jpg,
-43.0299922560751,-22.8819368490191,44,Estrada da Paciencia,76,sinalização turística _20170503_1102061632667810.jpg,
-43.0433425828674,-22.901401213605,45,Caetano Monteiro,1994,sinalização turística _20170503_110611922888797.jpg,
-43.0539091229739,-22.90581247684,46,Caetano Monteiro,0,sinalização turística _20170503_1110461645328094.jpg,
-43.0616909336091,-22.9073228839168,47,Amadeu Gomes,1375,sinalização turística _20170503_111535869216351.jpg,
-43.0662767711474,-22.9063321044677,48,Leonor da Gloria,12,sinalização turística _20170503_111738-1274718655.jpg,
-43.0672498918174,-22.9073116491149,49,Washinton Luis,47,sinalização turística _20170503_11190665864050.jpg,
-43.0672498918174,-22.9073116491149,50,Reverendo Armando Ferreira,250,sinalização turística _20170503_1120491611636181.jpg,
-43.0723447643561,-22.9110194982074,51,Reverendo Amando Ferreira,30,sinalização turística _20170503_112138828394773.jpg,
-43.0820733233097,-22.9129775553341,52,Doutor Albino Pereira,0,sinalização turística _20170503_112438518483949.jpg,
-43.0794271596721,-22.9122189728328,53,Fernandes Couto,28,sinalização turística _20170503_113149759641107.jpg,
-43.0818422278095,-22.9130437568864,54,Fernando Couto,26,sinalização turística _20170503_1132591084640400.jpg,
-43.0818667104616,-22.913139180896,55,Fernando Couto,16,sinalização turística _20170503_113422736604688.jpg,
-43.0819458298793,-22.913221770412,56,Fernando Couto,10,sinalização turística _20170503_113500-618204193.jpg,
-43.0823734629447,-22.9135623117283,57,Fernando Couto,12,sinalização turística _20170503_113703661254044.jpg,
-43.0846360655297,-22.9162417186219,58,Rua Fernandes Couto,10,sinalização turística _20170503_113843-66452847.jpg,
-43.0964508908337,-22.9138768658915,59,AV Quintino de Bocaiuva,878,sinalização turística _20170503_1143341137521459.jpg,
-43.0970408995878,-22.9137202821638,60,Leopoldo Fróes,692,sinalização turística _20170503_1149041461277698.jpg,
-43.0967318005014,-22.9139748985887,61,Túnel Raul Veiga,1956,sinalização turística _20170503_1151221072892775.jpg,
-43.0970488761597,-22.9136771518033,62,"Leopoldo Froes
 Av. Quintino Bocaiúvael",1956,sinalização turística _20170503_1152201232869288.jpg,
-43.1008495699397,-22.9087996443326,63,Raul Veiga,566,sinalização turística _20170504_0908011025051887.jpg,
-43.1011257800509,-22.908564170137,64,Raul Veiga,566,sinalização turística _20170504_0908541752588645.jpg,
